time,open,high,low,close,bb1 Upper,bb1 Lower,SMA 200,SMA 60,SMA 20,IT_High,IT_Low,LT_High,LT_Low,Market_Struct,BOS_Count,PivHigh_Dist,PivLow_Dist,Divergence,Volume,Volume MA, rsi, rsi2 ,ADX,ATR,ATR2,ATR3,SqueezeState,MACD,Signal
2025-07-13T09:00:00+09:00,117372.60 ,117414.60 ,117210.40 ,117272.80 ,118097.2223,116930.7677,111146.893,116745.985,117513.995,,,,,-1,1,0.76 ,0.33 ,0,587,1893,48.88 ,60.17 ,18.79 ,0.24 ,0.45 ,0.83 ,-1,31.67 ,84.55 
2025-07-13T10:00:00+09:00,117272.80 ,117614.80 ,117177.10 ,117506.10 ,118087.2398,116926.9302,111195.271,116858.4017,117507.085,,,,,-1,1,0.56 ,0.53 ,0,961,1852,53.18 ,60.93 ,19.10 ,0.29 ,0.45 ,0.84 ,-1,39.57 ,72.75 
2025-07-13T11:00:00+09:00,117506.10 ,117761.00 ,117358.30 ,117571.00 ,118061.0662,116930.2038,111245.822,116964.6667,117495.635,,116957.1,,,-1,1,0.51 ,0.52 ,0,606,1807,54.33 ,61.14 ,19.35 ,0.31 ,0.45 ,0.85 ,-1,50.48 ,63.82 
2025-07-13T12:00:00+09:00,117571.00 ,117766.00 ,117555.10 ,117700.10 ,118062 ,116930.1197,111297.1455,117070.6533,117495.83,,,,,-1,1,0.40 ,0.63 ,0,576,1755,56.62 ,61.57 ,19.27 ,0.26 ,0.45 ,0.84 ,-1,68.76 ,58.25 
2025-07-13T13:00:00+09:00,117700.10 ,117846.70 ,117642.20 ,117840.20 ,118055.3767,116932.8333,111348.094,117158.3233,117494.105,,,,,-1,1,0.28 ,0.75 ,0,513,1745,59.02 ,62.02 ,18.94 ,0.23 ,0.45 ,0.84 ,-1,93.47 ,56.08 
2025-07-13T14:00:00+09:00,117840.20 ,117868.40 ,117655.00 ,117720.80 ,117972.8391,116976.5409,111397.372,117225.785,117474.69,,,118167.1,,-1,1,0.38 ,0.65 ,0,912,1704,56.17 ,61.39 ,18.42 ,0.22 ,0.45 ,0.83 ,1,102.24 ,60.37 
2025-07-13T15:00:00+09:00,117720.80 ,117944.80 ,117700.00 ,117838.70 ,117929.637,117001.783,111445.63,117299.9683,117465.71,,,,,-1,1,0.28 ,0.75 ,0,806,1449,58.31 ,61.78 ,17.74 ,0.21 ,0.44 ,0.83 ,1,117.35 ,66.59 
2025-07-13T16:00:00+09:00,117838.70 ,118026.80 ,117803.60 ,117939.90 ,117965.5219,116982.8881,111495.6705,117378.305,117474.205,,,,,-1,1,0.19 ,0.83 ,0,826,1382,60.11 ,62.12 ,17.01 ,0.21 ,0.44 ,0.82 ,1,135.92 ,76.04 
2025-07-13T17:00:00+09:00,117939.90 ,117957.10 ,117706.10 ,117848.00 ,118009.2478,116973.8922,111544.2105,117451.9417,117491.57,,,,,-1,1,0.27 ,0.76 ,0,639,1255,57.67 ,61.61 ,16.33 ,0.21 ,0.43 ,0.79 ,-1,141.60 ,86.78 
2025-07-13T18:00:00+09:00,117848.00 ,117854.30 ,117650.00 ,117695.00 ,118027.8457,116977.7543,111593.0115,117472.4367,117502.8,,,,,-1,1,0.40 ,0.63 ,0,608,1012,53.77 ,60.77 ,15.77 ,0.20 ,0.41 ,0.77 ,-1,132.22 ,97.96 
2025-07-13T19:00:00+09:00,117695.00 ,117799.30 ,117690.50 ,117704.20 ,118047.679,116993.031,111641.4665,117501.105,117520.355,,,,,-1,1,0.39 ,0.63 ,0,351,807,53.97 ,60.81 ,15.30 ,0.16 ,0.40 ,0.75 ,-1,124.10 ,107.35 
2025-07-13T20:00:00+09:00,117704.20 ,118047.60 ,117704.10 ,118029.20 ,118098.4673,117037.4927,111691.162,117535.3717,117567.98,,,,116888,-1,1,0.12 ,0.91 ,0,878,685,60.53 ,61.96 ,15.14 ,0.20 ,0.39 ,0.73 ,-1,142.26 ,117.55 
2025-07-13T21:00:00+09:00,118029.20 ,118643.00 ,117935.00 ,118359.90 ,118226.6498,117029.8802,111742.5855,117582.1167,117628.265,,,,,1,1,0.16 ,1.19 ,0,4282,834,65.86 ,63.08 ,15.60 ,0.34 ,0.39 ,0.72 ,-1,181.24 ,130.04 
2025-07-13T22:00:00+09:00,118359.90 ,118719.40 ,118100.00 ,118560.00 ,118399.8917,116968.3883,111794.957,117626.0867,117684.14,,,,,1,1,0.33 ,1.35 ,0,3641,977,68.62 ,63.74 ,16.56 ,0.40 ,0.39 ,0.73 ,-1,225.67 ,144.73 
2025-07-13T23:00:00+09:00,118560.00 ,119385.40 ,118319.40 ,118722.80 ,118585.1032,116909.8368,111847.4485,117661.3217,117747.47,,,,,1,1,0.47 ,1.49 ,0,11396,1524,70.70 ,64.28 ,18.08 ,0.56 ,0.41 ,0.77 ,-1,270.91 ,163.47 
2025-07-14T00:00:00+09:00,118722.80 ,119080.20 ,118486.00 ,118626.00 ,118715.6606,116890.0694,111900.6,117691.3067,117802.865,,,,,1,1,0.39 ,1.41 ,0,2858,1627,67.82 ,63.71 ,20.25 ,0.54 ,0.44 ,0.82 ,-1,295.53 ,183.27 
2025-07-14T01:00:00+09:00,118626.00 ,118945.50 ,118463.50 ,118472.70 ,118751.1329,117004.5971,111953.147,117718.4367,117877.865,,,,,1,1,0.26 ,1.28 ,0,1422,1667,63.42 ,62.81 ,23.08 ,0.50 ,0.45 ,0.84 ,-1,299.23 ,201.42 
2025-07-14T02:00:00+09:00,118472.70 ,118787.70 ,118330.10 ,118630.00 ,118844.5967,117030.2833,112006.152,117731.98,117937.44,,,,,1,1,0.39 ,1.41 ,0,1081,1686,65.87 ,63.35 ,26.31 ,0.46 ,0.46 ,0.86 ,-1,311.27 ,220.27 
2025-07-14T03:00:00+09:00,118630.00 ,119000.00 ,118527.80 ,118933.30 ,118978.509,117055.821,112060.658,117753.935,118017.165,,,,,1,1,0.64 ,1.66 ,0,1878,1764,70.03 ,64.37 ,29.69 ,0.44 ,0.47 ,0.88 ,-1,341.35 ,243.51 
2025-07-14T04:00:00+09:00,118933.30 ,119450.00 ,118858.10 ,118916.00 ,119083.7033,117104.9667,112114.9655,117777.21,118094.335,,,,,1,1,0.63 ,1.65 ,0,3364,1909,69.51 ,64.27 ,32.95 ,0.46 ,0.48 ,0.90 ,-1,359.64 ,269.68 
2025-07-14T05:00:00+09:00,118916.00 ,119338.50 ,118774.60 ,119033.10 ,119176.9027,117187.7973,112169.6855,117795.3783,118182.35,,,,,1,1,0.73 ,1.74 ,0,1267,1943,71.08 ,64.66 ,35.97 ,0.46 ,0.50 ,0.93 ,-1,379.22 ,296.01 
2025-07-14T06:00:00+09:00,119033.10 ,119033.20 ,118439.50 ,118593.70 ,119195.7322,117277.7278,112222.2745,117797.5433,118236.73,,,,,1,1,0.36 ,1.38 ,0,2193,2005,58.85 ,62.04 ,38.24 ,0.48 ,0.51 ,0.96 ,-1,355.18 ,315.33 
2025-07-14T07:00:00+09:00,118593.70 ,118726.80 ,118193.10 ,118457.00 ,119193.6634,117368.3966,112273.857,117805.73,118281.03,,,,,1,1,0.24 ,1.27 ,0,2219,2085,55.65 ,61.25 ,39.60 ,0.47 ,0.53 ,0.98 ,-1,321.40 ,325.97 
2025-07-14T08:00:00+09:00,118457.00 ,119150.00 ,118327.80 ,119027.90 ,119274.4239,117420.4161,112328.916,117826.3183,118347.42,,,,,1,1,0.72 ,1.74 ,0,1741,2144,64.38 ,63.24 ,40.38 ,0.54 ,0.55 ,1.02 ,-1,336.81 ,333.29 
2025-07-14T09:00:00+09:00,119027.90 ,119431.00 ,118872.30 ,119017.60 ,119346.4216,117466.1584,112383.7795,117845.9933,118406.29,119450,,,,1,1,0.36 ,1.73 ,-1,1921,2214,64.13 ,63.18 ,40.90 ,0.52 ,0.57 ,1.06 ,-1,344.22 ,338.70 
2025-07-14T10:00:00+09:00,119017.60 ,119198.50 ,118870.00 ,119052.50 ,119397.8892,117547.8608,112438.9045,117864.0467,118472.875,,,,,1,1,0.33 ,1.76 ,0,1308,2234,64.62 ,63.30 ,41.13 ,0.44 ,0.58 ,1.09 ,-1,348.89 ,344.22 
2025-07-14T11:00:00+09:00,119052.50 ,120010.00 ,118924.20 ,119628.40 ,119567.4635,117557.2565,112497.328,117893.6733,118562.36,,,,,1,2,0.15 ,2.23 ,0,7493,2568,71.55 ,65.22 ,41.19 ,0.59 ,0.61 ,1.14 ,-1,394.51 ,353.47 
