time,open,high,low,close,bb1 Upper,bb1 Lower,SMA 200,SMA 60,SMA 20,IT_High,IT_Low,LT_High,LT_Low,Market_Struct,BOS_Count,Volume,Volume MA,  rsi,rsi2 ,ADX,ATR,SqueezeState,MACD,Signal
2025-10-11T05:00:00+09:00,116607.3,117138.3,112891.4,114193.8,124207.2456,115841.4344,122197.1755,121442.4117,120024.34,NaN,NaN,NaN,NaN,-1,3,23263.35257,5994.566442,15.20928417,33.44433582,24.88391064,1.89462484,-1,-1373.951527,-576.4432583
2025-10-11T06:00:00+09:00,114193.8,115059.2,101668.1,113259.5,124657.2329,114560.8371,122165.647,121288.8883,119609.035,NaN,NaN,NaN,NaN,-1,3,98601.26334,10857.95676,13.63221044,32.06928675,28.33843347,5.214629001,-1,-1680.642901,-751.8325302
2025-10-11T07:00:00+09:00,113259.5,114060.9,111154.8,113610.2,124874.7064,113604.9036,122139.8835,121134.39,119239.805,NaN,NaN,NaN,NaN,-1,3,18405.4763,11619.76721,17.10674409,33.12289066,32.11129366,4.318340392,-1,-1873.799472,-951.5137194
2025-10-11T08:00:00+09:00,113610.2,114750,112676.7,112709,125072.6582,112581.5318,122104.029,120965.95,118827.095,NaN,NaN,NaN,NaN,-1,3,8922.714274,11936.4007,15.39302799,31.8279206,36.01987865,3.515084661,-1,-2075.669726,-1165.617692
2025-10-11T09:00:00+09:00,112709,113134.1,111568.8,112429.8,125119.9715,111658.0185,122067.756,120796.8517,118388.995,NaN,NaN,NaN,NaN,-1,3,6346.844048,12159.42603,14.89518063,31.43918719,39.97682894,2.813291358,-1,-2232.44819,-1378.065902
2025-10-11T10:00:00+09:00,112429.8,112468.2,110966.5,111037.3,125147.055,110581.495,122023.5825,120604.94,117864.275,NaN,NaN,NaN,NaN,-1,3,4657.830004,12292.4432,12.69063118,29.59862785,43.93897836,2.349857719,-1,-2440.921936,-1591.97744
2025-10-11T11:00:00+09:00,111037.3,113229.5,111025,113152.6,124835.0273,110078.0127,121987.0205,120452.995,117456.52,NaN,101668.1,NaN,NaN,-1,3,5027.396673,12373.16687,29.70954608,35.45801803,47.64120945,2.186703952,-1,-2407.697413,-1780.783982
2025-10-11T12:00:00+09:00,113152.6,113278.5,111760,112271.1,124556.1823,109494.5577,121944.457,120288.585,117025.37,NaN,NaN,NaN,NaN,-1,3,3890.496522,12422.0776,27.31963906,34.24552213,50.93747943,1.920091859,-1,-2424.547745,-1951.924966
2025-10-11T13:00:00+09:00,112271.1,112935.4,111655.4,112891.4,124023.0134,109159.1766,121905.919,120120.305,116591.095,NaN,NaN,NaN,NaN,-1,3,3025.935576,12474.27323,31.49570129,35.82199444,53.70635787,1.650972085,-1,-2360.636777,-2096.701743
2025-10-11T14:00:00+09:00,112891.4,112891.4,111949,112338.7,123476.0431,108815.7969,121867.12,119926.3933,116145.92,NaN,NaN,NaN,NaN,-1,3,2980.792088,12515.10885,29.84994405,35.05748251,55.99578945,1.38569374,-1,-2327.752266,-2202.679603
